Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA
3.0,40.0,2.25,0.0,45.0,3.015,0.99,10.0
2.0100000000000002,53.6,1.5075,0.75,60.300000000000004,3.015,1.5,10.0
3.0,66.39999999999999,1.5075,0.495,45.0,3.735,1.5,10.0
1.5,26.400000000000002,1.5075,0.495,29.700000000000003,3.015,1.5,10.0
2.4899999999999998,53.6,1.125,0.75,45.0,3.015,2.4899999999999998,10.0
0.99,80.0,2.25,0.495,45.0,3.015,0.0,10.0
3.0,0.0,2.25,0.0,60.300000000000004,3.015,0.99,10.0
0.0,0.0,1.125,0.495,45.0,3.735,0.99,10.0
0.99,26.400000000000002,1.5075,0.495,60.300000000000004,3.015,2.4899999999999998,8.299999999999999
2.0100000000000002,80.0,1.5075,0.495,45.0,3.015,3.0,10.0
0.99,40.0,1.5075,1.0050000000000001,29.700000000000003,3.015,1.5,10.0
0.99,80.0,1.125,0.0,60.300000000000004,3.015,0.99,10.0
2.4899999999999998,26.400000000000002,1.125,0.75,45.0,2.25,2.0100000000000002,10.0
2.0100000000000002,53.6,2.25,0.0,60.300000000000004,3.015,1.5,8.299999999999999
2.0100000000000002,80.0,0.7425,0.495,45.0,3.735,2.0100000000000002,10.0
3.0,26.400000000000002,1.8675,0.495,60.300000000000004,3.735,1.5,8.299999999999999
2.0100000000000002,66.39999999999999,1.5075,0.0,45.0,2.25,0.99,10.0
2.0100000000000002,53.6,1.8675,0.495,45.0,2.25,2.0100000000000002,8.299999999999999
2.4899999999999998,66.39999999999999,1.8675,0.495,29.700000000000003,3.735,2.0100000000000002,10.0
0.99,66.39999999999999,1.8675,0.75,45.0,3.015,0.0,8.299999999999999
2.0100000000000002,40.0,2.25,0.495,45.0,3.735,2.4899999999999998,8.299999999999999
2.0100000000000002,40.0,1.5075,0.0,45.0,3.735,3.0,10.0
1.5,53.6,1.8675,0.75,45.0,2.25,0.99,8.299999999999999
3.0,53.6,1.125,0.75,45.0,2.25,2.4899999999999998,10.0
1.5,80.0,2.25,0.495,29.700000000000003,3.735,2.0100000000000002,10.0
3.0,80.0,1.8675,1.2449999999999999,29.700000000000003,3.015,0.99,10.0
2.0100000000000002,80.0,1.125,0.75,45.0,3.735,0.0,10.0
0.0,40.0,1.5075,0.75,45.0,3.015,2.0100000000000002,6.7
3.0,80.0,2.25,0.75,45.0,3.735,2.0100000000000002,8.299999999999999
3.0,26.400000000000002,1.125,0.0,45.0,3.015,3.0,8.299999999999999
2.4899999999999998,66.39999999999999,2.25,1.0050000000000001,60.300000000000004,3.015,2.0100000000000002,8.299999999999999
3.0,66.39999999999999,0.7425,0.75,45.0,2.25,2.0100000000000002,10.0
2.0100000000000002,53.6,1.5075,1.0050000000000001,45.0,3.015,3.0,8.299999999999999
1.5,80.0,1.8675,1.0050000000000001,45.0,3.735,0.99,8.299999999999999
0.0,53.6,1.5075,0.75,45.0,2.25,2.4899999999999998,8.299999999999999
2.0100000000000002,0.0,2.25,1.0050000000000001,60.300000000000004,3.735,1.5,8.299999999999999
3.0,66.39999999999999,1.5075,1.2449999999999999,29.700000000000003,3.015,0.0,10.0
3.0,53.6,1.8675,0.75,45.0,3.735,0.0,8.299999999999999
0.0,53.6,1.5075,1.5,45.0,3.015,1.5,10.0
3.0,0.0,0.7425,0.75,45.0,3.735,2.4899999999999998,8.299999999999999
2.4899999999999998,0.0,1.125,0.75,45.0,3.735,3.0,8.299999999999999
0.99,53.6,1.125,0.75,45.0,2.25,2.4899999999999998,8.299999999999999
3.0,40.0,0.7425,0.495,60.300000000000004,3.735,2.4899999999999998,8.299999999999999
2.0100000000000002,40.0,2.25,1.5,60.300000000000004,3.015,0.99,10.0
0.99,40.0,2.25,1.0050000000000001,60.300000000000004,3.735,3.0,10.0
0.0,53.6,1.8675,0.495,74.7,3.735,2.0100000000000002,10.0
0.0,26.400000000000002,2.25,0.75,45.0,2.25,2.0100000000000002,6.7
2.0100000000000002,40.0,1.125,0.75,60.300000000000004,3.015,2.4899999999999998,6.7
2.0100000000000002,40.0,1.5075,1.0050000000000001,60.300000000000004,2.25,3.0,10.0
3.0,80.0,1.5075,0.0,45.0,2.25,0.0,10.0
